old_group	old_target	status	new_group	new_target	profile	mapping	app_file	exclusion_reason
logging	R1Neo_companion_radio_full-logging	built	companion	R1Neo_companion_radio_full	full		R1Neo_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	R1Neo_companion_radio_usb-logging	built	companion	R1Neo_companion_radio_full	full	R1Neo_companion_radio_usb -> R1Neo_companion_radio_full (full_companion)	R1Neo_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	R1Neo_repeater-logging	built	repeater-room	R1Neo_repeater	standard		R1Neo_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	R1Neo_room_server-logging	built	repeater-room	R1Neo_room_server	standard		R1Neo_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	R1Neo_sensor-logging	built	utility	R1Neo_sensor	standard		R1Neo_sensor-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	R1Neo_terminal_chat-logging	built	companion	R1Neo_companion_radio_full	full	R1Neo_terminal_chat -> R1Neo_companion_radio_full (terminal_companion)	R1Neo_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_11310_companion_radio_usb-logging	built	companion	RAK_11310_companion_radio_usb	standard		RAK_11310_companion_radio_usb-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_11310_repeater-logging	excluded		RAK_11310_repeater				No qualified wireless infrastructure self-update path; omitted from the OTA-required release
logging	RAK_11310_repeater_bridge_rs232-logging	excluded		RAK_11310_repeater		RAK_11310_repeater_bridge_rs232 -> RAK_11310_repeater (rs232)		No qualified wireless infrastructure self-update path; omitted from the OTA-required release
logging	RAK_11310_room_server-logging	excluded		RAK_11310_room_server				No qualified wireless infrastructure self-update path; omitted from the OTA-required release
logging	RAK_11310_terminal_chat-logging	built	companion	RAK_11310_companion_radio_usb	standard	RAK_11310_terminal_chat -> RAK_11310_companion_radio_usb (terminal_companion)	RAK_11310_companion_radio_usb-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_companion_radio_full-logging	built	companion	RAK_3112_companion_radio_full	full		RAK_3112_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_companion_radio_usb-logging	built	companion	RAK_3112_companion_radio_full	full	RAK_3112_companion_radio_usb -> RAK_3112_companion_radio_full (full_companion)	RAK_3112_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_companion_radio_wifi-logging	built	companion	RAK_3112_companion_radio_full	full	RAK_3112_companion_radio_wifi -> RAK_3112_companion_radio_full (full_companion)	RAK_3112_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_repeater-logging	built	repeater-room	RAK_3112_repeater	standard		RAK_3112_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_repeater_bridge_rs232-logging	built	repeater-room	RAK_3112_repeater	standard	RAK_3112_repeater_bridge_rs232 -> RAK_3112_repeater (rs232)	RAK_3112_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_room_server-logging	built	repeater-room	RAK_3112_room_server	standard		RAK_3112_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_sensor-logging	built	utility	RAK_3112_sensor	standard		RAK_3112_sensor-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3112_terminal_chat-logging	built	companion	RAK_3112_companion_radio_full	full	RAK_3112_terminal_chat -> RAK_3112_companion_radio_full (terminal_companion)	RAK_3112_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3401_companion_radio_full-logging	built	companion	RAK_3401_companion_radio_full	full		RAK_3401_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_3401_companion_radio_usb-logging	built	companion	RAK_3401_companion_radio_full	full	RAK_3401_companion_radio_usb -> RAK_3401_companion_radio_full (full_companion)	RAK_3401_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_3401_repeater-logging	built	repeater-room	RAK_3401_repeater	standard		RAK_3401_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_3401_room_server-logging	built	repeater-room	RAK_3401_room_server	standard		RAK_3401_room_server-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_3401_sensor-logging	built	utility	RAK_3401_sensor	standard		RAK_3401_sensor-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_3401_terminal_chat-logging	built	companion	RAK_3401_companion_radio_full	full	RAK_3401_terminal_chat -> RAK_3401_companion_radio_full (terminal_companion)	RAK_3401_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_3x72_companion_radio_usb-logging	built	companion	RAK_3x72_companion_radio_usb	standard		RAK_3x72_companion_radio_usb-v1.17.1.5-halo-keymind-cascade-dev-26303793.bin	
logging	RAK_3x72_repeater-logging	excluded		RAK_3x72_repeater				No qualified wireless infrastructure self-update path; omitted from the OTA-required release
logging	RAK_3x72_sensor-logging	excluded		RAK_3x72_sensor				No qualified wireless infrastructure self-update path; omitted from the OTA-required release
logging	RAK_4631_companion_radio_ethernet-logging	built	companion	RAK_4631_companion_radio_full	full	RAK_4631_companion_radio_ethernet -> RAK_4631_companion_radio_full (full_companion)	RAK_4631_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_4631_companion_radio_full-logging	built	companion	RAK_4631_companion_radio_full	full		RAK_4631_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_4631_companion_radio_usb-logging	built	companion	RAK_4631_companion_radio_full	full	RAK_4631_companion_radio_usb -> RAK_4631_companion_radio_full (full_companion)	RAK_4631_companion_radio_full-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
logging	RAK_4631_repeater-logging	built	repeater-room	RAK_4631_repeater	standard		RAK_4631_repeater-v1.17.1.5-halo-keymind-cascade-dev-26303793.uf2	
